size,time
8.0,0.022074500918388466
16.0,0.021392102169990494
24.0,0.021337646555900595
32.0,0.02131513967514039
40.0,0.02236267726421349
48.0,0.02235455653667448
56.0,0.022350630950927746
64.0,0.022351372313499426
72.0,0.022355346822738615
80.0,0.022355563330650235
88.0,0.02235488398075105
96.0,0.022356294083595286
104.0,0.022352426052093522
112.0,0.02235947711467748
120.0,0.02237863030433665
128.0,0.022371759605407788
136.0,0.022380429482459985
144.0,0.022384933280944742
152.0,0.022382088541984525
160.0,0.022381582212447973
168.0,0.02239319119453426
176.0,0.02238953950405115
184.0,0.022390766263008056
192.0,0.022393372893333492
200.0,0.02238844003677372
208.0,0.022377594089508006
216.0,0.022388337254524104
224.0,0.02238881287574766
232.0,0.022390771436691215
240.0,0.022396866893768252
248.0,0.02239676580429066
256.0,0.022399249482154795
264.0,0.02240808875560762
272.0,0.022417705512046908
280.0,0.02241447026729583
288.0,0.022415659737586864
296.0,0.02241598441600807
304.0,0.02237107062339787
312.0,0.022384519147872955
320.0,0.022424346566200216
328.0,0.022436102795600817
336.0,0.02237985453605655
344.0,0.022425226640701335
352.0,0.02236314458847042
360.0,0.022443446350097592
368.0,0.02244199085235592
376.0,0.022436240506172107
384.0,0.022457030534744283
392.0,0.022459992694854904
400.0,0.022470628857612602
408.0,0.022475165176391695
416.0,0.02245617499351502
424.0,0.022461931610107486
432.0,0.02246664459705354
440.0,0.022473097538948092
448.0,0.022466974139213544
456.0,0.02248048808574673
464.0,0.022483477210998585
472.0,0.022490322923660305
480.0,0.02249546329975121
488.0,0.022493331170082127
496.0,0.02248779108524316
504.0,0.02247343859672553
512.0,0.02247920837402351
520.0,0.022473087906837552
528.0,0.022480779743194634
536.0,0.022478496384620753
544.0,0.022481422400474654
552.0,0.022485130095482024
560.0,0.02248932571411126
568.0,0.022499335670471212
576.0,0.022458665752410917
584.0,0.0223876606225968
592.0,0.022381972622871435
600.0,0.02239577212333667
608.0,0.022385265469551087
616.0,0.022369659852981442
624.0,0.022402930831909175
632.0,0.022386320662498446
640.0,0.02243128616809845
648.0,0.02238241918087003
656.0,0.022429710435867257
664.0,0.022402160167694012
672.0,0.022450779509544463
680.0,0.022399737739562938
688.0,0.022465853810310323
696.0,0.02241781542301176
704.0,0.022455777835845837
712.0,0.02241965396404269
720.0,0.02247166426181785
728.0,0.02243246498107915
736.0,0.022463742971420383
744.0,0.02244206500053404
752.0,0.022476893615722672
760.0,0.02246488671302797
768.0,0.022467112708091836
776.0,0.022478733444213923
784.0,0.022500967144966078
792.0,0.022491130208969128
800.0,0.022485226440429638
808.0,0.022501529121398946
816.0,0.022496708178520217
824.0,0.02251213238239286
832.0,0.022498583865165688
840.0,0.022507747006416296
848.0,0.02252573328018191
856.0,0.022522974967956497
864.0,0.022533940315246553
872.0,0.022525384950637842
880.0,0.022523304533958385
888.0,0.022547898387908914
896.0,0.022536768960952785
904.0,0.022543759536743136
912.0,0.022540321779251037
920.0,0.022559603643417254
928.0,0.022542993021011325
936.0,0.02256905746459965
944.0,0.022548112726211555
952.0,0.022557861495018046
960.0,0.022566026782989516
968.0,0.022583582615852384
976.0,0.022570324254035965
984.0,0.02259933323860171
992.0,0.022571254253387525
1000.0,0.022595430397987365
1008.0,0.022583427667617822
1016.0,0.022591822624206573
